model,condition,MAE,RMSE
mlp,clean,48.59725256487904,84.82876207631399
lstm,clean,41.67366810260705,83.67119887246012
dlinear,clean,53.062486538059204,83.36315066366879
patchtst,clean,56.298290540246626,87.28425396015737
persistence,clean,48.857839237497735,103.42779132842057
mlp,noise_0.1,48.633304669136415,84.89348198768498
lstm,noise_0.1,41.68292880237744,83.67825350214443
dlinear,noise_0.1,53.14882275544024,83.40584374241224
patchtst,noise_0.1,56.23338808159199,87.29518168994932
persistence,noise_0.1,51.21690754440444,104.02291281325716
mlp,noise_0.3,48.78527165829551,85.06616993952312
lstm,noise_0.3,41.77039749507731,83.66313363298825
dlinear,noise_0.3,53.903686674018616,84.2091826869967
patchtst,noise_0.3,56.04191617935332,87.62479459770312
persistence,noise_0.3,61.06374096023569,108.70534012884342
mlp,mask_20pct,61.35242031823702,107.04066894054455
lstm,mask_20pct,47.60977938546366,87.56220019702283
dlinear,mask_20pct,59.6565764041244,91.53424658119357
patchtst,mask_20pct,62.54119933977939,94.08621407338916
persistence,mask_20pct,48.857839237497735,103.42779132842057
mlp,mask_40pct,66.59926037862786,112.09928134571912
lstm,mask_40pct,50.77620648693999,88.76155156851027
dlinear,mask_40pct,62.05353317122819,94.76611555671485
patchtst,mask_40pct,64.77037758885764,97.04802022305941
persistence,mask_40pct,48.857839237497735,103.42779132842057
