model,feature_mode,MAE,RMSE
persistence,no_rv,48.857839237497735,103.42779132842057
mlp,no_rv,59.20996104505639,93.74570808383413
lstm,no_rv,53.14394407831789,86.5582770367367
dlinear,no_rv,48.65700489164165,81.47283114550642
patchtst,no_rv,56.29970224450786,86.16677835827288
persistence,all,48.857839237497735,103.42779132842057
mlp,all,55.05543381931187,90.44778777183082
lstm,all,50.73895984716663,93.81634650085273
dlinear,all,50.72953763530601,82.57529510591061
patchtst,all,53.63542657535984,87.59732676870513
