model,ratio,MAE,RMSE
mlp,1.0,63.51365098924807,98.71111687215517
lstm,1.0,57.020606357710776,86.38587336488055
dlinear,1.0,50.39369169554883,82.01101995999353
patchtst,1.0,56.45168211195064,88.65137205958702
mlp,0.5,47.72917976790854,87.10527550927114
lstm,0.5,39.3942070686221,86.76066951127565
dlinear,0.5,48.1410094284004,88.31050803565527
patchtst,0.5,80.31360969851752,117.02891142915101
mlp,0.2,99.59676703789819,138.5837670558773
lstm,0.2,55.04436053649071,87.56681812731192
dlinear,0.2,51.146154509090195,86.16807615784012
patchtst,0.2,60.86425815943509,103.63568798351896
mlp,0.1,107.69767335743595,137.91581273124345
lstm,0.1,50.889028672366855,86.6031948959898
dlinear,0.1,58.06880584118177,89.35776821808311
patchtst,0.1,60.34112766732384,95.13231816508153
persistence,1.0,48.857839237497735,103.42779132842057
persistence,0.5,48.857839237497735,103.42779132842057
persistence,0.2,48.857839237497735,103.42779132842057
persistence,0.1,48.857839237497735,103.42779132842057
